,price_doc
0,4872186.369406693
1,8203132.356110945
2,6292371.388714742
3,5661525.19552451
4,5062387.622858308
5,8245336.773838236
6,4698146.216536887
7,4234687.052164656
8,4552060.263566974
9,5176179.64001761
10,6018900.6346368035
11,4967502.770028927
12,3857957.4782682643
13,4695614.559929335
14,5402037.091096187
15,6793694.096302369
16,14578549.907759467
17,18825052.312450826
18,6586051.630492877
19,14188770.934684118
20,7034555.978279828
21,11578567.465976419
22,9878099.96087224
23,9600347.86181341
24,5118216.014870949
25,10293523.77239239
26,9781493.776457518
27,6827534.6776187755
28,3107299.810978112
29,7695555.231482529
30,8066464.64492313
31,12679505.201224973
32,3033808.4637017157
33,4726789.213650822
34,5611702.276117997
35,7986825.734624784
36,8964721.383701937
37,7209560.072675266
38,7638366.662398052
39,4812023.894749086
40,3840715.9896306875
41,8224726.588995991
42,6003446.018974252
43,9742074.76393774
44,6472229.554264992
45,5740711.5984964715
46,6176302.659989891
47,5774591.414251814
48,7458011.853616613
49,6632639.407348749
50,10504992.65972207
51,8781601.652157186
52,4621996.694685521
53,5308028.441027249
54,7633232.320698971
55,7494496.798210899
56,6796674.9490336
57,13102551.436718604
58,4901920.722954938
59,10555740.971918777
60,7129976.265500823
61,8838122.305767633
62,6183165.52663154
63,11733921.131801309
64,5347690.330412356
65,9252707.24390495
66,9156508.706163192
67,8325467.787013842
68,2191212.623762411
69,5912447.382294223
70,8667122.332394736
71,9503898.409948708
72,4367576.514913
73,8373366.06259204
74,5628126.589184303
75,5367091.549794307
76,12347134.515401652
77,5125958.50313076
78,2107776.446883865
79,7864716.628214698
80,12406086.536422808
81,6632768.430063102
82,8610152.259701876
83,9773096.354277259
84,9676137.894479128
85,6384668.81925457
86,5928356.510653265
87,7478454.923809239
88,8542012.2743274
89,4099558.284927068
90,7717219.195985947
91,9030739.30067681
92,8407611.543258686
93,2144945.4380850405
94,11014844.525480181
95,10383378.26382178
96,6837220.238815579
97,6857933.053008983
98,4808763.9358293135
99,6657304.732084183
100,7134273.942089045
101,8486510.665043605
102,4345043.52395886
103,5226667.514538457
104,3055460.0404818505
105,7513802.08764754
106,5627998.909794862
107,5690337.112447887
108,12177349.006358098
109,7070493.286760701
110,4583566.566649038
111,2897087.090877403
112,8735806.837010782
113,6602681.319106771
114,8896275.113434408
115,8455434.840488644
116,13360391.914596364
117,5394177.064738373
118,7545617.283627315
119,9749537.695316447
120,8195853.074790874
121,5990246.951968502
122,7538016.104710237
123,6653347.949877955
124,9136638.357257295
125,13249768.389984196
126,5530320.265101047
127,7392694.723283008
128,2118832.188684455
129,12711893.87140635
130,5016293.455873182
131,6883619.49927938
132,22033611.02260155
133,7430016.001293723
134,8224714.162790587
135,6796910.610028492
136,3028464.465897733
137,5561827.337234472
138,7987607.451305545
139,7747490.438019259
140,17881705.049141597
141,7751461.670967611
142,5713249.609347637
143,9175552.496001178
144,5569310.800048163
