,index,id,price_doc
0,0,30474,4933679.976204261
1,1,30475,8260734.465888235
2,2,30476,6306090.954360262
3,3,30477,5491467.214172293
4,4,30478,4991891.922203571
5,5,30479,6641555.298239832
6,6,30480,4882869.955397811
7,7,30481,4088151.5663522715
8,8,30482,4652552.189304635
9,9,30483,4290467.809062896
10,10,30484,6048838.229615659
11,11,30485,4825485.829577226
12,12,30486,3746995.0529099526
13,13,30487,4128963.8964433605
14,14,30488,5234811.5735194655
15,15,30489,7531079.976087499
16,16,30490,16682310.242295273
17,17,30491,15900967.205003021
18,18,30492,6246801.944236002
19,19,30493,13821875.774158167
20,20,30494,7017903.149454702
21,21,30495,12199025.956536137
22,22,30496,9183040.773561167
23,23,30497,9970562.694889197
24,24,30498,4975721.198942802
25,25,30499,10084304.275415942
26,26,30500,10545513.933545982
27,27,30501,6889602.972767635
28,28,30502,3032615.6713053575
29,29,30503,6393463.067828108
30,30,30504,6896403.492374589
31,31,30505,11541644.680191318
32,32,30506,2883537.093956871
33,33,30507,4382286.970003997
34,34,30508,5887214.366260282
35,35,30509,7391455.000998756
36,36,30510,8765860.013421824
37,37,30511,7454659.423929356
38,38,30512,7711339.071399422
39,39,30513,4961859.68296396
40,40,30514,3502171.118273786
41,41,30515,8909720.85638611
42,42,30516,5776866.708004657
43,43,30517,7990566.6493516555
44,44,30518,6130000.844084077
45,45,30519,5164020.629405189
46,46,30520,6901984.150030697
47,47,30521,6287937.839538641
48,48,30522,7396883.561594346
49,49,30523,5894729.697654275
50,50,30524,10700691.363391288
51,51,30525,8056835.475854703
52,52,30526,4420432.219327163
53,53,30527,6008801.506886393
54,54,30528,6781445.976793145
55,55,30529,7161608.455011119
56,56,30530,6512993.735495755
57,57,30531,14168138.143234694
58,58,30532,4736708.017006604
59,59,30533,10724671.545763157
60,60,30534,7265514.399046042
61,61,30535,8721378.129315678
62,62,30536,6699681.682272394
63,63,30537,11889082.564469356
64,64,30538,5118464.767327848
65,65,30539,8835661.015995676
66,66,30540,9338186.612429308
67,67,30541,8527089.898424357
68,68,30542,2000065.6695123925
69,69,30543,5635372.580756415
70,70,30544,9009039.425284596
71,71,30545,8777213.269322447
72,72,30546,5013802.210063772
73,73,30547,9786672.247388238
74,74,30548,5644507.8842599755
75,75,30549,5202371.249097875
76,76,30550,12793140.665523537
77,77,30551,4848719.430820429
78,78,30552,1942272.0668955226
79,79,30553,9050871.532267002
80,80,30554,12428930.486412043
81,81,30555,7298971.611453566
82,82,30556,6123439.2773815775
83,83,30557,10252566.153271051
84,84,30558,9284273.072818797
85,85,30559,7159592.180117475
86,86,30560,6312512.961558621
87,87,30561,7505548.678945789
88,88,30562,10861130.014435356
89,89,30563,4075850.344903686
90,90,30564,8566924.43637266
91,91,30565,8519978.156908842
92,92,30566,8588745.736058796
93,93,30567,1975976.3491773005
94,94,30568,10051591.318770736
95,95,30569,10713025.616623702
96,96,30570,7240929.788017954
97,97,30571,6890600.654670535
98,98,30572,4653455.011099531
99,99,30573,6437191.66065438
100,100,30574,7778839.045927879
101,101,30575,7659194.345832139
102,102,30576,4178747.662174326
103,103,30577,5459107.131953787
104,104,30578,2937952.156472375
105,105,30579,7720289.367944279
106,106,30580,5432016.950655458
107,107,30581,5705672.904889856
108,108,30582,10259657.554416306
109,109,30583,7270917.823752464
110,110,30584,4905077.979406301
111,111,30585,2811281.8180112094
112,112,30586,9076258.631579967
113,113,30587,7456194.9742236845
114,114,30588,7483105.54087086
115,115,30589,8778972.029370945
116,116,30590,13156934.769223006
117,117,30591,4761510.246586481
118,118,30592,7424541.17515627
119,119,30593,9039029.039428202
120,120,30594,7841464.332951252
121,121,30595,6193415.957026256
122,122,30596,9766501.965211038
123,123,30597,6418872.145088013
124,124,30598,9130092.911919149
125,125,30599,13034794.907542543
126,126,30600,5257521.723275701
127,127,30601,6867054.890369146
128,128,30602,1964604.704238923
129,129,30603,12570093.777146792
130,130,30604,5011782.156151015
131,131,30605,6503961.279087715
132,132,30606,17128618.26491006
133,133,30607,7768372.687347583
134,134,30608,7890627.132282911
135,135,30609,7493943.551815354
136,136,30610,2979515.3471192154
137,137,30611,5791314.177525737
138,138,30612,8085442.712713163
139,139,30613,9053902.573936589
140,140,30614,16212229.7601626
141,141,30615,8156811.59610363
142,142,30616,6252749.424543823
143,143,30617,9304315.194529125
144,144,30618,5153402.366725971
145,145,30619,3908929.1733920085
146,146,30620,2811681.074586364
147,147,30621,9618191.867342567
148,148,30622,11727711.644878956
149,149,30623,7709271.945092041
150,150,30624,6454405.696163437
151,151,30625,7642545.928530736
152,152,30626,7055487.517666818
153,153,30627,8914058.13802169
154,154,30628,6267550.780261035
155,155,30629,5329594.810802586
156,156,30630,4391571.695879992
157,157,30631,5674821.027394534
158,158,30632,3380849.8791110786
159,159,30633,6284286.392206999
160,160,30634,9830372.280097865
161,161,30635,9320544.34361454
162,162,30636,5432048.920005029
163,163,30637,9165431.25995647
164,164,30638,6540330.258787956
165,165,30639,9569125.083480075
166,166,30640,4726918.570862733
167,167,30641,9438029.554441988
168,168,30642,5843219.61409017
169,169,30643,9441594.131000975
170,170,30644,9211461.647065176
171,171,30645,7173610.159819956
172,172,30646,5715065.945658311
173,173,30647,4797359.255167552
174,174,30648,18090109.91576908
175,175,30649,2711936.4557982446
176,176,30650,5197525.731769624
177,177,30651,2922619.7785097705
178,178,30652,4758340.161748563
179,179,30653,7154224.351424188
180,180,30654,4187264.1932718162
181,181,30655,11751747.081381818
182,182,30656,4477677.391313623
183,183,30657,6905459.807735082
184,184,30658,10237831.613082647
185,185,30659,4514209.11000796
186,186,30660,9062133.805070555
187,187,30661,6119309.048354592
188,188,30662,8454840.40903104
189,189,30663,16254064.8654455
190,190,30664,10470755.478588387
191,191,30665,7777629.86670184
192,192,30666,2766315.248633452
193,193,30667,4191416.716884355
194,194,30668,7796402.508270562
195,195,30669,4700516.05163106
196,196,30670,2770059.2179101263
197,197,30671,8883369.106363915
198,198,30672,13423384.562981317
199,199,30673,11328913.6717497
200,200,30674,12947663.633650998
201,201,30675,1980925.5427748812
202,202,30676,7869907.165993299
203,203,30677,5435704.73779435
204,204,30678,16364897.54052769
205,205,30679,6886603.006504456
206,206,30680,5898233.061576395
207,207,30681,2391568.8548040967
208,208,30682,7991238.432656701
209,209,30683,9922039.780971847
210,210,30684,5939445.735803283
211,211,30685,8502130.851169385
212,212,30686,8940612.739270288
213,213,30687,4717210.7870950755
214,214,30688,4239753.9859956475
215,215,30689,12585823.641813112
216,216,30690,18663442.755125724
217,217,30691,5108870.168397905
218,218,30692,7156462.6825744985
219,219,30693,11468919.309305746
220,220,30694,6870361.844180937
221,221,30695,6750209.834625504
222,222,30696,8068831.991117133
223,223,30697,11637540.080088103
224,224,30698,9235184.256531259
225,225,30699,6433696.567877782
226,226,30700,4592354.951158636
227,227,30701,9157536.757159999
228,228,30702,7258462.531094783
229,229,30703,3575548.0792746358
230,230,30704,9562515.958053252
231,231,30705,9910443.986004794
232,232,30706,16467935.312620953
233,233,30707,3547002.6351742414
234,234,30708,12923335.443147939
235,235,30709,5508653.49483842
236,236,30710,7167948.38450495
237,237,30711,4646055.786246378
238,238,30712,5001385.133231362
239,239,30713,6070879.4546048045
240,240,30714,7212772.736293196
241,241,30715,4378230.7470999425
242,242,30716,9922039.780971847
243,243,30717,6858714.156695041
244,244,30718,12908789.751454959
245,245,30719,13008083.307765864
246,246,30720,8850957.952106021
247,247,30721,3418051.7012159964
248,248,30722,8306280.106701846
249,249,30723,5940282.8734567305
250,250,30724,11169311.154428754
251,251,30725,7225462.057189086
252,252,30726,12200789.5143422
253,253,30727,9187159.160416937
254,254,30728,11002198.21875065
255,255,30729,3411657.3366634287
256,256,30730,7069178.21448649
257,257,30731,7313647.476490908
258,258,30732,5106668.253569161
259,259,30733,12484589.72524456
260,260,30734,6615552.091539336
261,261,30735,5030527.554712218
