id,price_doc
30474,6507325.025839915
30475,8007532.116636702
30476,6301616.4469323745
30477,5558421.8732826905
30478,5054757.649983056
30479,7665361.050000634
30480,5861994.355709973
30481,
30482,4802033.329615037
30483,4079406.138385796
30484,5946019.459441309
30485,4859632.188711076
30486,3607759.6800367306
30487,4887758.440844174
30488,5475800.974957891
30489,
30490,
30491,14745486.556277001
30492,6599152.496476907
30493,13187363.83106805
30494,7245349.556939208
30495,10205626.764786996
30496,9575609.173187917
30497,10237311.190653155
30498,6004645.751733691
30499,11281323.176344514
30500,10294326.54346429
30501,7465694.761641763
30502,3468659.771039824
30503,7589276.057216846
30504,7506159.689734801
30505,11649452.599785399
30506,2942836.526107252
30507,4202442.011180142
30508,6768869.036760625
30509,8123167.3069568
30510,8526638.03242398
30511,7811727.764174367
30512,7511699.6581153525
30513,5569813.939287793
30514,3778828.0803668094
30515,8112602.381795755
30516,6542022.020723518
30517,7700930.423662354
30518,6815126.766629728
30519,5337016.39511764
30520,6615161.26307776
30521,6099140.487077251
30522,7641662.691161265
30523,5703361.947415299
30524,8174840.458024972
30525,5319835.56347699
30526,4563104.638534565
30527,5179318.370278138
30528,7348282.526469367
30529,6805184.083333344
30530,6844908.122541017
30531,13873836.97169062
30532,4966392.190777849
30533,9272801.380088236
30534,7102258.700525018
30535,8362190.728918121
30536,5630453.79255035
30537,10055783.738808446
30538,4997113.467239734
30539,9613935.471545596
30540,8453159.473094203
30541,8072411.687598617
30542,
30543,5992300.031372679
30544,9380497.187281007
30545,7303994.652065123
30546,
30547,9364594.911275279
30548,4934368.149035439
30549,4861672.019997349
30550,12520311.224000826
30551,4869219.050621135
30552,2089563.7761237686
30553,6614832.149063533
30554,11533390.031143568
30555,8432503.033598345
30556,6691841.68555096
30557,8938585.038372315
30558,9432846.307976102
30559,7984553.358200057
30560,6256454.004394086
30561,7412738.8121860195
30562,
30563,4792171.206288595
30564,7652530.470254884
30565,9196218.524084564
30566,7564843.652425422
30567,2096614.2869553347
30568,10858604.372349484
30569,10659019.474079581
30570,7152581.380362414
30571,7121695.748611292
30572,4284424.882414992
30573,6049730.901261368
30574,7877005.559077508
30575,6614152.923783398
30576,4659482.653622375
30577,5738979.262093283
30578,2813468.975326564
30579,7994777.570447986
30580,5403040.083779769
30581,5309394.302842746
30582,9955789.153251024
30583,7136445.9142375225
30584,5011926.528972797
30585,2646818.822611191
30586,9020095.219106646
30587,5885160.915846982
30588,8010241.888226149
30589,8806294.950961389
30590,11928208.61429161
30591,4533489.4815076
30592,7582714.173327765
30593,9577735.037928684
30594,8439742.270570787
30595,6095552.668812303
30596,7038107.982930483
30597,6059859.793950231
30598,8550940.332332069
30599,13548481.704390142
30600,5588105.302108795
30601,6661385.427765407
30602,2033843.3086208722
30603,11700650.183590867
30604,5145537.713924232
30605,6338198.098979241
30606,20813217.597588886
30607,7178861.837815356
30608,6747713.359259801
30609,
30610,3256538.5447813366
30611,6739391.363641712
30612,8183570.879306891
30613,7939125.14053842
30614,16831342.41951234
30615,8240689.901807247
30616,7292431.038636189
30617,9150410.715582294
30618,5265324.394382039
30619,4437563.627465786
30620,2854876.9275452024
30621,8605900.4557679
30622,7143737.02726949
30623,7316552.182012343
30624,6805208.262688054
30625,7884127.022433659
30626,6867978.67729734
30627,8216468.887798968
30628,6118989.8683622815
30629,6254076.814619708
30630,5383510.254477174
30631,5529271.3209035
30632,3847439.281854323
30633,6699361.246048022
30634,8445102.135820132
30635,8524064.573534412
30636,6427525.064414725
30637,8311439.23620289
30638,6125889.1228230605
30639,7090437.174922384
30640,
30641,11460865.030174062
30642,6693878.40547664
30643,9723299.07209351
30644,8628169.87912773
30645,8655386.64595154
30646,6320685.072653178
30647,5114658.295934312
30648,18510436.50788297
30649,2544298.195974197
30650,5256136.34518265
30651,2982876.5732629653
30652,4784499.597240269
30653,6360815.845470832
30654,4705936.145922377
30655,10037121.512258632
30656,3624563.763341961
30657,6364524.5066344505
30658,9842908.506017331
30659,4612123.252139364
30660,9275541.350837031
30661,5809989.815204891
30662,9358128.029682722
30663,17968565.63456392
30664,8730265.733566236
30665,5954641.659115768
30666,3127367.678563606
30667,3896594.0153504903
30668,8052312.514405743
30669,4651798.123383834
30670,3517381.760419749
30671,8994925.299048591
30672,10473799.645563215
30673,12936361.528711671
30674,11659851.386061179
30675,1983873.165759035
30676,8665844.87623542
30677,5276116.505386667
30678,14885427.617830291
30679,6129452.938216729
30680,5735634.04197815
30681,
30682,8565849.242982626
30683,9014640.5494555
30684,6828042.444395137
30685,8530271.350183768
30686,8955161.984108495
30687,4926694.051332502
30688,4111092.361018195
30689,10373486.231759816
30690,19180664.300020833
30691,5493168.593808038
30692,7402751.303863225
30693,10075971.181384755
30694,4747592.261104908
30695,7291071.053002289
30696,6065987.729903732
30697,8105493.146272838
30698,8980905.055981563
30699,5831473.336455741
30700,4521466.113807646
30701,8637709.863469537
30702,6049013.6715076845
30703,3955930.318709481
30704,9543280.70446892
30705,8760790.074276099
30706,16936354.750251625
30707,3344015.4524512053
30708,13362839.258878209
30709,5555700.918401085
30710,9549720.38229336
30711,4873928.068578316
30712,4206731.248782583
30713,4933770.318505246
30714,6791535.246568844
30715,
30716,9008208.816955155
30717,6486394.98509808
30718,13631849.151549367
30719,10499106.410211168
30720,8375473.910204656
30721,3876122.2691529044
30722,6967192.154437889
30723,6310222.845777053
30724,10557030.757219654
30725,7983940.614867319
30726,11572557.257081816
30727,8251388.962291689
30728,9514084.20686198
30729,3465055.458654409
30730,6965417.941570062
30731,8694008.22889661
30732,5329849.753269417
30733,11445363.917786423
30734,6123481.7204745505
30735,6205561.291965968
30736,5999579.110576988
30737,6770381.261704459
30738,7143120.5089278035
30739,3241104.431750781
30740,6633371.986373101
30741,7568152.384943095
30742,5515282.186131277
30743,4633254.147539106
30744,10436498.37122061
30745,8865398.680014579
30746,6283315.324530343
30747,12007839.998450048
30748,14846761.592888556
30749,4915081.848351505
30750,5857797.018850258
30751,5792620.7242450155
30752,6174611.178898007
30753,9710514.000489317
30754,7006873.580811561
30755,4246547.727671659
30756,7971328.404278621
30757,5840715.290301442
30758,8141414.318092283
30759,6818090.460544726
30760,3952153.7685313923
30761,9940928.354988905
30762,6994983.32434163
30763,9772834.297481997
30764,6287938.919209427
30765,6455080.467507662
30766,3561670.228439971
30767,9299455.86291628
30768,5249592.355297347
30769,7280330.0463238945
30770,5949861.860760486
30771,3271260.7543629124
30772,9790922.046932809
30773,11347338.568151671
30774,7255354.594054715
30775,9809405.915100565
30776,6923337.982388695
30777,6979897.965350458
30778,9044739.07934661
30779,7001967.378196452
30780,7686439.441800832
30781,6007766.205196466
30782,5323530.930424429
30783,
30784,3715683.648963142
30785,6385056.036068103
30786,5883859.3747218
30787,8745881.121327056
30788,5369603.221628496
30789,8397481.321341624
30790,6775068.186424632
30791,9152032.691787276
30792,6211518.049558414
30793,10459113.979133936
30794,12817282.334187822
30795,11088389.56019677
30796,14804308.691502593
30797,12631303.868397728
30798,2846966.626797751
30799,10327626.936975716
30800,16801480.36157738
30801,8666485.784957683
30802,15069143.391970955
30803,2631054.928839422
30804,3192807.2726314804
30805,8855773.104404395
30806,6129500.023563698
30807,8001636.228809182
30808,9540091.068493687
30809,5065852.584634229
30810,13148839.494033528
30811,4329924.278220361
30812,6397220.719926178
30813,5486515.836168219
30814,3063491.8197555216
30815,4600577.621034787
30816,9486124.955523508
30817,2007211.0880650394
30818,8343097.486918807
30819,10808060.731303245
30820,6456312.966054722
30821,18632809.664222304
30822,7442489.925601916
30823,8351644.492894926
30824,3852568.430529228
30825,5960452.224447131
30826,7246109.816956753
30827,6184688.168686353
30828,6847097.417354533
30829,6485388.158591037
30830,9750595.496274866
30831,
30832,7430929.63101031
30833,6548088.614664136
30834,4251176.231636402
30835,9112025.38788934
30836,6608561.064698845
30837,5545892.694212161
30838,5657512.239395572
30839,6415052.658596349
30840,12093554.681985136
30841,10105729.224262463
30842,8106492.238344655
30843,6217686.134873538
30844,8426955.983505458
30845,8790549.447650027
30846,5952971.500382766
30847,6937221.991346738
30848,8841208.997098543
30849,4515922.746620087
30850,
30851,
30852,8263257.942070718
30853,3716287.7730486793
30854,7220101.249028732
30855,6788314.514303879
30856,9134698.420441095
30857,2292150.2642616597
30858,5641200.453149692
30859,
30860,7057079.935939206
30861,6339041.545901622
30862,7634216.181617247
30863,5281192.315150476
30864,6751965.423543021
30865,8604691.205530204
30866,9178264.654514303
30867,6553719.43858346
30868,7148689.574790991
30869,5798050.157436194
30870,7091135.480825391
30871,8587075.537246848
30872,4109350.2894304846
30873,3346749.6617846196
30874,6637433.258520344
30875,6306369.804089365
30876,4577659.105431307
30877,8936498.41614247
30878,5852464.86690366
30879,11364352.187372776
30880,8685651.153500166
30881,2007211.0880650394
30882,8611750.268272499
30883,3343551.58969869
30884,5874885.937931027
30885,6588510.403539757
30886,8020235.219321788
30887,7121339.242064543
30888,4653807.376074869
30889,7091821.579838445
30890,9141209.669196509
30891,3440741.486883567
30892,3572108.856752841
30893,5558692.049835695
30894,6647872.063243273
30895,4954474.824339136
30896,6657656.566150291
30897,9431125.170477102
30898,7392523.55418907
30899,5850633.415632363
30900,2693557.508046706
30901,6932792.407289775
30902,2062872.4127224463
30903,6945904.21870828
30904,7958829.912607261
